"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ckpt_base_path","debug_dset_init","goal_H","goal_source","model_epoch","model_name","n_evals","n_plot_samples","objective._target_","objective.alpha","objective.base","objective.mode","planner._target_","planner.max_iter","planner.n_taken_actions","planner.name","planner.sub_planner.eval_every","planner.sub_planner.horizon","planner.sub_planner.num_samples","planner.sub_planner.opt_steps","planner.sub_planner.target","planner.sub_planner.topk","planner.sub_planner.var_scale","saved_folder","seed","wandb_logging","final_eval/mean_div_proprio_emb","final_eval/mean_div_visual_emb","final_eval/mean_proprio_dist","final_eval/mean_state_dist","final_eval/mean_visual_dist","final_eval/success_rate","mpc/mean_div_proprio_emb","mpc/mean_div_visual_emb","mpc/mean_proprio_dist","mpc/mean_state_dist","mpc/mean_visual_dist","mpc/success_rate","plan_0/loss","plan_0/mean_div_proprio_emb","plan_0/mean_div_visual_emb","plan_0/mean_proprio_dist","plan_0/mean_state_dist","plan_0/mean_visual_dist","plan_0/success_rate","plan_1/loss","plan_1/mean_div_proprio_emb","plan_1/mean_div_visual_emb","plan_1/mean_proprio_dist","plan_1/mean_state_dist","plan_1/mean_visual_dist","plan_1/success_rate","plan_10/loss","plan_10/mean_div_proprio_emb","plan_10/mean_div_visual_emb","plan_10/mean_proprio_dist","plan_10/mean_state_dist","plan_10/mean_visual_dist","plan_10/success_rate","plan_11/loss","plan_11/mean_div_proprio_emb","plan_11/mean_div_visual_emb","plan_11/mean_proprio_dist","plan_11/mean_state_dist","plan_11/mean_visual_dist","plan_11/success_rate","plan_12/loss","plan_12/mean_div_proprio_emb","plan_12/mean_div_visual_emb","plan_12/mean_proprio_dist","plan_12/mean_state_dist","plan_12/mean_visual_dist","plan_12/success_rate","plan_13/loss","plan_13/mean_div_proprio_emb","plan_13/mean_div_visual_emb","plan_13/mean_proprio_dist","plan_13/mean_state_dist","plan_13/mean_visual_dist","plan_13/success_rate","plan_14/loss","plan_14/mean_div_proprio_emb","plan_14/mean_div_visual_emb","plan_14/mean_proprio_dist","plan_14/mean_state_dist","plan_14/mean_visual_dist","plan_14/success_rate","plan_15/loss","plan_15/mean_div_proprio_emb","plan_15/mean_div_visual_emb","plan_15/mean_proprio_dist","plan_15/mean_state_dist","plan_15/mean_visual_dist","plan_15/success_rate","plan_16/loss","plan_16/mean_div_proprio_emb","plan_16/mean_div_visual_emb","plan_16/mean_proprio_dist","plan_16/mean_state_dist","plan_16/mean_visual_dist","plan_16/success_rate","plan_17/loss","plan_17/mean_div_proprio_emb","plan_17/mean_div_visual_emb","plan_17/mean_proprio_dist","plan_17/mean_state_dist","plan_17/mean_visual_dist","plan_17/success_rate","plan_18/loss","plan_18/mean_div_proprio_emb","plan_18/mean_div_visual_emb","plan_18/mean_proprio_dist","plan_18/mean_state_dist","plan_18/mean_visual_dist","plan_18/success_rate","plan_19/loss","plan_19/mean_div_proprio_emb","plan_19/mean_div_visual_emb","plan_19/mean_proprio_dist","plan_19/mean_state_dist","plan_19/mean_visual_dist","plan_19/success_rate","plan_2/loss","plan_2/mean_div_proprio_emb","plan_2/mean_div_visual_emb","plan_2/mean_proprio_dist","plan_2/mean_state_dist","plan_2/mean_visual_dist","plan_2/success_rate","plan_20/loss","plan_20/mean_div_proprio_emb","plan_20/mean_div_visual_emb","plan_20/mean_proprio_dist","plan_20/mean_state_dist","plan_20/mean_visual_dist","plan_20/success_rate","plan_21/loss","plan_21/mean_div_proprio_emb","plan_21/mean_div_visual_emb","plan_21/mean_proprio_dist","plan_21/mean_state_dist","plan_21/mean_visual_dist","plan_21/success_rate","plan_22/loss","plan_22/mean_div_proprio_emb","plan_22/mean_div_visual_emb","plan_22/mean_proprio_dist","plan_22/mean_state_dist","plan_22/mean_visual_dist","plan_22/success_rate","plan_23/loss","plan_23/mean_div_proprio_emb","plan_23/mean_div_visual_emb","plan_23/mean_proprio_dist","plan_23/mean_state_dist","plan_23/mean_visual_dist","plan_23/success_rate","plan_24/loss","plan_24/mean_div_proprio_emb","plan_24/mean_div_visual_emb","plan_24/mean_proprio_dist","plan_24/mean_state_dist","plan_24/mean_visual_dist","plan_24/success_rate","plan_25/loss","plan_25/mean_div_proprio_emb","plan_25/mean_div_visual_emb","plan_25/mean_proprio_dist","plan_25/mean_state_dist","plan_25/mean_visual_dist","plan_25/success_rate","plan_26/loss","plan_26/mean_div_proprio_emb","plan_26/mean_div_visual_emb","plan_26/mean_proprio_dist","plan_26/mean_state_dist","plan_26/mean_visual_dist","plan_26/success_rate","plan_27/loss","plan_27/mean_div_proprio_emb","plan_27/mean_div_visual_emb","plan_27/mean_proprio_dist","plan_27/mean_state_dist","plan_27/mean_visual_dist","plan_27/success_rate","plan_28/loss","plan_28/mean_div_proprio_emb","plan_28/mean_div_visual_emb","plan_28/mean_proprio_dist","plan_28/mean_state_dist","plan_28/mean_visual_dist","plan_28/success_rate","plan_29/loss","plan_29/mean_div_proprio_emb","plan_29/mean_div_visual_emb","plan_29/mean_proprio_dist","plan_29/mean_state_dist","plan_29/mean_visual_dist","plan_29/success_rate","plan_3/loss","plan_3/mean_div_proprio_emb","plan_3/mean_div_visual_emb","plan_3/mean_proprio_dist","plan_3/mean_state_dist","plan_3/mean_visual_dist","plan_3/success_rate","plan_30/loss","plan_30/mean_div_proprio_emb","plan_30/mean_div_visual_emb","plan_30/mean_proprio_dist","plan_30/mean_state_dist","plan_30/mean_visual_dist","plan_30/success_rate","plan_31/loss","plan_31/mean_div_proprio_emb","plan_31/mean_div_visual_emb","plan_31/mean_proprio_dist","plan_31/mean_state_dist","plan_31/mean_visual_dist","plan_31/success_rate","plan_32/loss","plan_32/mean_div_proprio_emb","plan_32/mean_div_visual_emb","plan_32/mean_proprio_dist","plan_32/mean_state_dist","plan_32/mean_visual_dist","plan_32/success_rate","plan_33/loss","plan_33/mean_div_proprio_emb","plan_33/mean_div_visual_emb","plan_33/mean_proprio_dist","plan_33/mean_state_dist","plan_33/mean_visual_dist","plan_33/success_rate","plan_34/loss","plan_34/mean_div_proprio_emb","plan_34/mean_div_visual_emb","plan_34/mean_proprio_dist","plan_34/mean_state_dist","plan_34/mean_visual_dist","plan_34/success_rate","plan_35/loss","plan_35/mean_div_proprio_emb","plan_35/mean_div_visual_emb","plan_35/mean_proprio_dist","plan_35/mean_state_dist","plan_35/mean_visual_dist","plan_35/success_rate","plan_36/loss","plan_36/mean_div_proprio_emb","plan_36/mean_div_visual_emb","plan_36/mean_proprio_dist","plan_36/mean_state_dist","plan_36/mean_visual_dist","plan_36/success_rate","plan_37/loss","plan_37/mean_div_proprio_emb","plan_37/mean_div_visual_emb","plan_37/mean_proprio_dist","plan_37/mean_state_dist","plan_37/mean_visual_dist","plan_37/success_rate","plan_38/loss","plan_38/mean_div_proprio_emb","plan_38/mean_div_visual_emb","plan_38/mean_proprio_dist","plan_38/mean_state_dist","plan_38/mean_visual_dist","plan_38/success_rate","plan_39/loss","plan_39/mean_div_proprio_emb","plan_39/mean_div_visual_emb","plan_39/mean_proprio_dist","plan_39/mean_state_dist","plan_39/mean_visual_dist","plan_39/success_rate","plan_4/loss","plan_4/mean_div_proprio_emb","plan_4/mean_div_visual_emb","plan_4/mean_proprio_dist","plan_4/mean_state_dist","plan_4/mean_visual_dist","plan_4/success_rate","plan_40/loss","plan_40/mean_div_proprio_emb","plan_40/mean_div_visual_emb","plan_40/mean_proprio_dist","plan_40/mean_state_dist","plan_40/mean_visual_dist","plan_40/success_rate","plan_41/loss","plan_41/mean_div_proprio_emb","plan_41/mean_div_visual_emb","plan_41/mean_proprio_dist","plan_41/mean_state_dist","plan_41/mean_visual_dist","plan_41/success_rate","plan_42/loss","plan_42/mean_div_proprio_emb","plan_42/mean_div_visual_emb","plan_42/mean_proprio_dist","plan_42/mean_state_dist","plan_42/mean_visual_dist","plan_42/success_rate","plan_43/loss","plan_43/mean_div_proprio_emb","plan_43/mean_div_visual_emb","plan_43/mean_proprio_dist","plan_43/mean_state_dist","plan_43/mean_visual_dist","plan_43/success_rate","plan_44/loss","plan_44/mean_div_proprio_emb","plan_44/mean_div_visual_emb","plan_44/mean_proprio_dist","plan_44/mean_state_dist","plan_44/mean_visual_dist","plan_44/success_rate","plan_45/loss","plan_45/mean_div_proprio_emb","plan_45/mean_div_visual_emb","plan_45/mean_proprio_dist","plan_45/mean_state_dist","plan_45/mean_visual_dist","plan_45/success_rate","plan_46/loss","plan_46/mean_div_proprio_emb","plan_46/mean_div_visual_emb","plan_46/mean_proprio_dist","plan_46/mean_state_dist","plan_46/mean_visual_dist","plan_46/success_rate","plan_47/loss","plan_47/mean_div_proprio_emb","plan_47/mean_div_visual_emb","plan_47/mean_proprio_dist","plan_47/mean_state_dist","plan_47/mean_visual_dist","plan_47/success_rate","plan_48/loss","plan_48/mean_div_proprio_emb","plan_48/mean_div_visual_emb","plan_48/mean_proprio_dist","plan_48/mean_state_dist","plan_48/mean_visual_dist","plan_48/success_rate","plan_49/loss","plan_49/mean_div_proprio_emb","plan_49/mean_div_visual_emb","plan_49/mean_proprio_dist","plan_49/mean_state_dist","plan_49/mean_visual_dist","plan_49/success_rate","plan_5/loss","plan_5/mean_div_proprio_emb","plan_5/mean_div_visual_emb","plan_5/mean_proprio_dist","plan_5/mean_state_dist","plan_5/mean_visual_dist","plan_5/success_rate","plan_50/loss","plan_50/mean_div_proprio_emb","plan_50/mean_div_visual_emb","plan_50/mean_proprio_dist","plan_50/mean_state_dist","plan_50/mean_visual_dist","plan_50/success_rate","plan_51/loss","plan_51/mean_div_proprio_emb","plan_51/mean_div_visual_emb","plan_51/mean_proprio_dist","plan_51/mean_state_dist","plan_51/mean_visual_dist","plan_51/success_rate","plan_52/loss","plan_52/mean_div_proprio_emb","plan_52/mean_div_visual_emb","plan_52/mean_proprio_dist","plan_52/mean_state_dist","plan_52/mean_visual_dist","plan_52/success_rate","plan_53/loss","plan_53/mean_div_proprio_emb","plan_53/mean_div_visual_emb","plan_53/mean_proprio_dist","plan_53/mean_state_dist","plan_53/mean_visual_dist","plan_53/success_rate","plan_54/loss","plan_54/mean_div_proprio_emb","plan_54/mean_div_visual_emb","plan_54/mean_proprio_dist","plan_54/mean_state_dist","plan_54/mean_visual_dist","plan_54/success_rate","plan_55/loss","plan_55/mean_div_proprio_emb","plan_55/mean_div_visual_emb","plan_55/mean_proprio_dist","plan_55/mean_state_dist","plan_55/mean_visual_dist","plan_55/success_rate","plan_56/loss","plan_56/mean_div_proprio_emb","plan_56/mean_div_visual_emb","plan_56/mean_proprio_dist","plan_56/mean_state_dist","plan_56/mean_visual_dist","plan_56/success_rate","plan_57/loss","plan_57/mean_div_proprio_emb","plan_57/mean_div_visual_emb","plan_57/mean_proprio_dist","plan_57/mean_state_dist","plan_57/mean_visual_dist","plan_57/success_rate","plan_58/loss","plan_58/mean_div_proprio_emb","plan_58/mean_div_visual_emb","plan_58/mean_proprio_dist","plan_58/mean_state_dist","plan_58/mean_visual_dist","plan_58/success_rate","plan_59/loss","plan_59/mean_div_proprio_emb","plan_59/mean_div_visual_emb","plan_59/mean_proprio_dist","plan_59/mean_state_dist","plan_59/mean_visual_dist","plan_59/success_rate","plan_6/loss","plan_6/mean_div_proprio_emb","plan_6/mean_div_visual_emb","plan_6/mean_proprio_dist","plan_6/mean_state_dist","plan_6/mean_visual_dist","plan_6/success_rate","plan_60/loss","plan_60/mean_div_proprio_emb","plan_60/mean_div_visual_emb","plan_60/mean_proprio_dist","plan_60/mean_state_dist","plan_60/mean_visual_dist","plan_60/success_rate","plan_7/loss","plan_7/mean_div_proprio_emb","plan_7/mean_div_visual_emb","plan_7/mean_proprio_dist","plan_7/mean_state_dist","plan_7/mean_visual_dist","plan_7/success_rate","plan_8/loss","plan_8/mean_div_proprio_emb","plan_8/mean_div_visual_emb","plan_8/mean_proprio_dist","plan_8/mean_state_dist","plan_8/mean_visual_dist","plan_8/success_rate","plan_9/loss","plan_9/mean_div_proprio_emb","plan_9/mean_div_visual_emb","plan_9/mean_proprio_dist","plan_9/mean_state_dist","plan_9/mean_visual_dist","plan_9/success_rate","step"
"20260329192455_cmp_vfmvae_s_gH5","finished","-","","","2026-03-29T19:24:57.000Z","1189","","/checkpoints","false","5","random_state","latest","cmp_vfmvae_s","16","1","planning.objectives.create_objective_fn","0","2","last","planning.mpc.MPCPlanner","8","5","mpc_cem","1","5","64","5","planning.cem.CEMPlanner","8","1","/workspace/plan_outputs/20260329192455_cmp_vfmvae_s_gH5","99","true","3.8568215370178223","539.9641723632812","1.4447845220565796","4.240706682351348","0.4631874966783589","0.9375","3.8568215370178223","539.9641723632812","1.4447845220565796","4.240706682351348","0.4631874966783589","0.9375","0.05612730223219842","4.213633060455322","504.7090759277344","1.8008631467819214","5.2451374383598885","0.4854582702221514","0.4375","0.04314880148740485","4.8552703857421875","500.9567565917969","1.7127206325531006","4.775369534381704","0.4600502066060799","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05122681229840964","5.6785736083984375","514.4686889648438","1.5311172008514404","4.205474399984083","0.5111918546715561","0.4375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.048859329137485474","4.0315260887146","503.3233337402344","1.8348339796066284","5.0332615510049425","0.5059399247980442","0.4375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04429783980594948","3.858173131942749","675.0289916992188","1.9398218393325808","5.354982118091255","0.49196162840136054","0.5625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.061727439460810274","4.957151889801025","655.089599609375","1.8238921165466309","5.0685327814548415","0.487627717102466","0.4375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.050039444118738174","2.9618918895721436","549.262939453125","1.5617690086364746","4.170570059813719","0.4910087325946003","0.4375","","","","","","","","0.053544825641438365","3.2897019386291504","574.3565673828125","1.649162530899048","4.61850701296014","0.5058452580250851","0.5625","","","","","","","","","","","","","","","8"
"20260329190017_cmp_vjepa2_s_gH5","finished","-","","","2026-03-29T19:00:19.000Z","1468","","/checkpoints","false","5","random_state","latest","cmp_vjepa2_s","16","1","planning.objectives.create_objective_fn","0","2","last","planning.mpc.MPCPlanner","8","5","mpc_cem","1","5","64","5","planning.cem.CEMPlanner","8","1","/workspace/plan_outputs/20260329190017_cmp_vjepa2_s_gH5","99","true","5.788924694061279","1654.6192626953125","1.6224457025527954","4.302196876673046","0.49227967554209184","0.625","5.788924694061279","1654.6192626953125","1.6224457025527954","4.302196876673046","0.49227967554209184","0.625","0.7169911861419678","6.870620250701904","1593.489013671875","2.0392074584960938","5.281530410064068","0.5183566346460459","0.25","0.7124603390693665","4.704591751098633","1550.6475830078125","1.5045642852783203","3.724936880496872","0.5222358963116497","0.3125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7222330160439014","4.991683483123779","1590.9249267578125","1.5910152196884155","3.8741032596431624","0.48205234242134354","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7150474786758423","4.745559215545654","1419.6651611328125","1.5781102180480957","3.92811732486111","0.5176703005420918","0.3125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7380383908748627","4.620951175689697","1527.0279541015625","1.7257851362228394","4.496418127318599","0.5115020129145408","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7075138632208109","5.358511924743652","1483.490234375","1.8235280513763428","4.562715845117271","0.507359926392432","0.375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7321649994701147","6.725446701049805","1470.9708251953125","1.7895817756652832","4.608170712981951","0.4916929906728316","0.3125","","","","","","","","0.7285021468997002","5.839005947113037","1548.4510498046875","1.6975252628326416","4.295312774221057","0.4985546708917942","0.375","","","","","","","","","","","","","","","8"
"20260329185313_cmp_dinov2_s_gH5","finished","-","","","2026-03-29T18:53:15.000Z","416","","/checkpoints","false","5","random_state","latest","cmp_dinov2_s","16","1","planning.objectives.create_objective_fn","0","2","last","planning.mpc.MPCPlanner","8","5","mpc_cem","1","5","64","5","planning.cem.CEMPlanner","8","1","/workspace/plan_outputs/20260329185313_cmp_dinov2_s_gH5","99","true","3.675178050994873","269.2048034667969","1.660088300704956","5.100910319077759","0.466154552641369","1","3.675178050994873","269.2048034667969","1.660088300704956","5.100910319077759","0.466154552641369","1","0.02384641485696193","4.0226335525512695","289.2952575683594","1.6951322555541992","5.054627084483051","0.5182765000531463","0.625","0.015864594257436693","3.6587271690368657","265.5528869628906","1.4532623291015625","4.219883628163323","0.43853801286139454","0.8125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016427278955234215","3.493034839630127","274.2908935546875","1.4955220222473145","4.2124550888641705","0.4864921310321003","0.875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3"
