"Name","State","Notes","User","Tags","Created","Runtime","Sweep","action_emb_dim","action_encoder._target_","action_encoder.num_frames","action_encoder.tubelet_size","action_encoder.use_3d_pos","ckpt_base_path","concat_dim","debug","decoder._target_","decoder.channel","decoder.n_embed","decoder.n_res_block","decoder.n_res_channel","decoder.quantize","effective_batch_size","encoder._target_","encoder.drop_cls_token","encoder.feature_key","encoder.model_name_or_path","encoder.name","encoder.normalize_imagenet","encoder.normalize_mean","encoder.normalize_std","encoder.token_pool","encoder.trust_remote_code","env.args","env.dataset._target_","env.dataset.data_path","env.dataset.normalize_action","env.dataset.split_ratio","env.dataset.transform._target_","env.dataset.transform.img_size","env.name","env.num_workers","frameskip","gpu_batch_size","has_decoder","has_predictor","img_size","model._target_","model.image_size","model.num_hist","model.num_pred","model.train_decoder","model.train_encoder","model.train_predictor","model_name","normalize_action","num_action_repeat","num_hist","num_pred","num_proprio_repeat","plan_settings.alpha","plan_settings.goal_H","plan_settings.goal_source","plan_settings.planner","predictor._target_","predictor.depth","predictor.dropout","predictor.emb_dropout","predictor.heads","predictor.mlp_dim","predictor.model_dim","predictor.pool","proprio_emb_dim","proprio_encoder._target_","proprio_encoder.num_frames","proprio_encoder.tubelet_size","proprio_encoder.use_3d_pos","saved_folder","training.action_encoder_lr","training.batch_size","training.decoder_lr","training.encoder_lr","training.epochs","training.num_reconstruct_samples","training.predictor_lr","training.reconstruct_every_x_batch","training.save_every_x_epoch","training.seed","epoch","params/encoder_total","params/encoder_trainable","params/model_total","params/model_trainable","params/predictor_total","params/predictor_trainable","train_loss","train_z_loss","train_z_proprio_err_rollout","train_z_proprio_err_rollout_1framestart","train_z_proprio_loss","train_z_visual_err_rollout","train_z_visual_err_rollout_1framestart","train_z_visual_loss","val_loss","val_z_loss","val_z_proprio_err_rollout","val_z_proprio_err_rollout_1framestart","val_z_proprio_loss","val_z_visual_err_rollout","val_z_visual_err_rollout_1framestart","val_z_visual_loss"
"cmp_vfmvae_s_point_maze_f5_h3_p1","crashed","-","","","2026-03-27T12:33:10.000Z","150449","","10","models.proprio.ProprioceptiveEmbedding","1","1","false","/checkpoints","1","false","models.vqvae.VQVAE","384","2048","4","128","false","16","models.hf_encoders.VFMVAEEncoder","false","last_hidden_state","google/siglip-base-patch16-224","","false","[0.5,0.5,0.5]","[0.5,0.5,0.5]","patch","true","[]","datasets.point_maze_dset.load_point_maze_slice_train_val","/data/point_maze","true","0.9","datasets.img_transforms.default_transform","224","point_maze","0","5","16","false","true","224","models.visual_world_model.VWorldModel","224","3","1","false","false","true","cmp_vfmvae_s","true","1","3","1","1","[0.1,1]","[5]","[""dset"",""random_state""]","[""gd"",""cem""]","models.vit.ViTPredictor","6","0.1","0","16","2048","1024","mean","10","models.proprio.ProprioceptiveEmbedding","1","1","false","/checkpoints/outputs/cmp_vfmvae_s","0.0005","16","0.0003","0.000001","10","6","0.0005","500","1","42","11","92884224","0","145484980","52600756","52600596","52600596","0.015120276406204598","0.015120276406204598","0.10840144008398056","0.10865217447280884","0.01460576911986162","0.126650869846344","0.0652165412902832","0.015126975823484438","0.01260699896345987","0.01260699896345987","0.1081223487854004","0.16450652480125427","0.010604322374948214","0.15533292293548584","0.2313608676195145","0.01263307554643649"
"cmp_vjepa2_s_point_maze_f5_h3_p1","crashed","-","","","2026-03-25T09:06:14.000Z","183729","","10","models.proprio.ProprioceptiveEmbedding","1","1","false","/checkpoints","1","false","models.vqvae.VQVAE","384","2048","4","128","false","16","models.hf_encoders.VJEPA2Encoder","true","last_hidden_state","facebook/vjepa2-vitl-fpc64-256","dinov2_vits14","true","","","patch","true","[]","datasets.point_maze_dset.load_point_maze_slice_train_val","/data/point_maze","true","0.9","datasets.img_transforms.default_transform","224","point_maze","0","5","16","false","true","224","models.visual_world_model.VWorldModel","224","3","1","false","false","true","cmp_vjepa2_s","true","1","3","1","1","[0.1,1]","[5]","[""dset"",""random_state""]","[""gd"",""cem""]","models.vit.ViTPredictor","6","0.1","0","16","2048","1024","mean","10","models.proprio.ProprioceptiveEmbedding","1","1","false","/checkpoints/outputs/cmp_vjepa2_s","0.0005","16","0.0003","0.000001","10","6","0.0005","500","1","42","10","325971328","0","379096628","53125300","53125140","53125140","0.09026115888280638","0.09026115888280638","0.2897377610206604","0.2939094305038452","0.016469136796258884","0.29089367389678955","0.3140195906162262","0.09098178273890382","0.08358000311173079","0.08358000311173079","0.246424600481987","0.4323659837245941","0.012128026147445651","0.2746935784816742","0.3770618140697479","0.08427777498048479"
"cmp_dinov2_s_point_maze_f5_h3_p1","crashed","-","","","2026-03-23T18:34:51.000Z","132506","","10","models.proprio.ProprioceptiveEmbedding","1","1","false","/checkpoints","1","false","models.vqvae.VQVAE","384","2048","4","128","false","16","models.dino.DinoV2Encoder","","x_norm_patchtokens","","dinov2_vits14","","","","","","[]","datasets.point_maze_dset.load_point_maze_slice_train_val","/data/point_maze","true","0.9","datasets.img_transforms.default_transform","224","point_maze","0","5","16","false","true","224","models.visual_world_model.VWorldModel","224","3","1","false","false","true","cmp_dinov2_s","true","1","3","1","1","[0.1,1]","[5]","[""dset"",""random_state""]","[""gd"",""cem""]","models.vit.ViTPredictor","6","0.1","0","16","2048","1024","mean","10","models.proprio.ProprioceptiveEmbedding","1","1","false","/checkpoints/outputs/cmp_dinov2_s","0.0005","16","0.0003","0.000001","6","6","0.0005","500","1","42","10","22056576","0","73870516","51813940","51813780","51813780","0.004902797136285105","0.004902797136285105","0.06354980170726776","0.06466801464557648","0.007643518983979711","0.03855672106146813","0.0461154468357563","0.004831424346697503","0.005143658558884957","0.005143658558884957","0.04975773021578789","0.06835439056158066","0.007245738836840119","0.05850563570857048","0.0796331837773323","0.005088917059255699"
